epoch,learning_rate_used,data_loss,PDE_loss,physics_loss,total_loss,training_seconds,validation_MSE,learning_rate_next
1,0.002,0.04774073318068711,0.05028509070991345,0.011651736156979823,0.07299979589721363,2.1950118000095244,0.0020926438737660646,0.002
2,0.002,0.003109066940422328,0.007729880410720999,0.005044819376396261,0.007024455339546791,2.1449539000022924,0.0010097611229866743,0.0022758620689655173
3,0.0022758620689655173,0.001508940335248931,0.0036979152662855275,0.0035137417166107247,0.003393035385557802,2.1512778000032995,0.0005665112403221428,0.0025517241379310347
4,0.0025517241379310347,0.00098087559871481,0.0022689975646570464,0.0026094298831731925,0.0021414686798750648,2.2238137000094866,0.00047207114403136075,0.002827586206896552
5,0.002827586206896552,0.0007210367997308736,0.0015611357773865028,0.002266038672664677,0.0015242650751507718,2.150113199997577,0.00041296868585050106,0.0031034482758620693
6,0.0031034482758620693,0.0005634200370997929,0.001169832322838769,0.0018758637383624137,0.0011670948359028017,2.125527999989572,0.00031109823612496257,0.0033793103448275866
7,0.0033793103448275866,0.0004447625578218579,0.0009067685152228289,0.0017046470300487752,0.0009151932857337601,2.2751387000025716,0.0001985637645702809,0.0036551724137931034
8,0.0036551724137931034,0.00036945080006811414,0.0007216721259162954,0.0015948929050761573,0.0007462357920770235,2.1210779000102775,0.00018963191541843116,0.003931034482758621
9,0.003931034482758621,0.00031716897886000433,0.00058370054164629,0.0013918270025279303,0.0006229375197084286,2.214329100010218,0.00020507229783106595,0.0042068965517241385
10,0.0042068965517241385,0.00026421051665718824,0.0004871892481976417,0.001206688953559178,0.0005198720302916009,2.013446599987219,0.00017870227748062462,0.004482758620689656
11,0.004482758620689656,0.0002323760264465269,0.00041377338946507015,0.0011444374496657576,0.0004507070956757195,2.285011599989957,0.00021370239846874028,0.004758620689655173
12,0.004758620689655173,0.00020393813391356676,0.0003469718756365045,0.0009827125627538717,0.0003872511973593577,2.1285435000027064,0.00014679860032629222,0.00503448275862069
13,0.00503448275862069,0.00018206558339649214,0.00029861560159468283,0.0008466721966506843,0.00033984010616034045,2.2046430000045802,0.00012845135643146932,0.005310344827586207
14,0.005310344827586207,0.0001669265586555549,0.0002553105036638027,0.0007913288540088237,0.0003024950990275445,2.1778233000077307,0.00011605554755078629,0.005586206896551724
15,0.005586206896551724,0.0001539893424740272,0.00022342321045591302,0.0007398628812603969,0.0002730995765145877,2.1257449999975506,0.0001491028961027041,0.0058620689655172415
16,0.0058620689655172415,0.00014626199742262956,0.00019443691856412324,0.0007291562906861797,0.00025077201961155296,1.944779400000698,0.00011214300320716575,0.006137931034482759
17,0.006137931034482759,0.000136744143605509,0.00017024862993495399,0.0006965166248846799,0.0002288336248218328,2.05197249999037,0.00010719561396399513,0.006413793103448276
18,0.006413793103448276,0.00013112062213553626,0.0001519088042221243,0.0006107787707631634,0.00021318281195423005,2.0650466000079177,0.00012701829837169498,0.006689655172413793
19,0.006689655172413793,0.00013182802416300752,0.00013458848390552513,0.0006230359038729044,0.00020535262515449914,2.216188800011878,0.00011140600690850988,0.006965517241379311
20,0.006965517241379311,0.00012555933639270974,0.0001181037745791057,0.0006093502502925782,0.00019070472618518838,2.071235199997318,0.00011589346831897274,0.007241379310344828
21,0.007241379310344828,0.00012497447398414325,0.00010572967523399231,0.0006154828269983518,0.00018399413987112292,2.2042865000112215,0.00012583572242874652,0.007517241379310345
22,0.007517241379310345,0.00012096478448651362,9.720526591167381e-05,0.0006170060091876021,0.00017573747753422655,2.0104510000091977,0.00011005127453245223,0.007793103448275863
23,0.007793103448275863,0.00011689921364381487,8.545789696311333e-05,0.0005475475797693263,0.00016510363792306482,2.151470099997823,0.00010367773211328313,0.008068965517241379
24,0.008068965517241379,0.00011716006956017084,7.661082308227635e-05,0.0005751218317836558,0.0001612166994191456,2.156537600007141,0.000103214850241784,0.008344827586206898
25,0.008344827586206898,0.00011844673693149332,6.991103015574275e-05,0.0005654585923898508,0.00015905683793326322,2.110025800007861,0.00011552364594535902,0.008620689655172414
26,0.008620689655172414,0.00011803599457225744,6.500165724197736e-05,0.0005486827675376158,0.00015602365086862227,2.1300551000022097,0.00012929929653182626,0.008896551724137931
27,0.008896551724137931,0.00011643189831168988,6.0238905204624766e-05,0.0005414816592095138,0.0001519661675060974,2.1271842999994988,0.00010221871343674138,0.009172413793103448
28,0.009172413793103448,0.00011450503302083509,5.1546156512659025e-05,0.0005460906900654389,0.00014573901817781899,2.276359900002717,9.39134115469642e-05,0.009448275862068966
29,0.009448275862068966,0.00011087137077855966,4.83985688059068e-05,0.0005624816321354922,0.00014069547150286798,2.312890300003346,9.962575131794438e-05,0.009724137931034483
30,0.009724137931034483,0.00011409795959754672,4.383997015192674e-05,0.0005273321486420859,0.00014129126615993094,2.1253773999924306,9.995362779591233e-05,0.01
31,0.01,0.00011647308592899826,4.37137648918477e-05,0.0005298583682644058,0.00014362855205756617,2.14256409999507,0.00012677061022259295,0.01
32,0.01,0.00011054169830595986,3.977271204211371e-05,0.0005368466235319469,0.00013579652056233617,2.0616491999971913,9.152747952612117e-05,0.009999163327244457
33,0.009999163327244457,0.0001075849735193429,3.514761237107999e-05,0.0005309052355170144,0.00013046783206005304,2.0175508999964222,0.00014115947124082595,0.009996653594700812
34,0.009996653594700812,0.0001114333027321406,3.350412019776655e-05,0.0004994444332726933,0.00013317980716375083,2.388230199998361,0.0001282057783100754,0.009992471659440427
35,0.009992471659440427,0.00010988196217507686,2.9797444836250815e-05,0.0005066054028882821,0.0001298467386220851,2.030700600007549,9.170262637780979e-05,0.009986618949590362
36,0.009986618949590362,0.0001118789197171968,2.9348730318163706e-05,0.0005143987929738425,0.0001316972728060171,2.2264761999977054,0.00016293000953737646,0.00997909746384567
37,0.00997909746384567,0.0001102607431058236,2.6529395860429844e-05,0.0004953104395305141,0.00012847854543134366,2.059404200001154,0.00010260591079713777,0.009969909770786841
38,0.009969909770786841,0.00010564148101795306,2.464644147142469e-05,0.0004880462763809054,0.00012284516451747447,2.1084935999970185,8.622357563581318e-05,0.00995905900800264
39,0.00995905900800264,0.00011533242410086184,2.480793368446922e-05,0.0005192552415328979,0.00013292894335842543,2.0588024000026053,8.508931932738051e-05,0.009946548881018615
40,0.009946548881018615,9.970216836696843e-05,2.1372572433083747e-05,0.0005133640514478035,0.00011552209509798833,2.1698334999964572,8.3930826804135e-05,0.009932383662031672
41,0.009932383662031672,0.0001082850221620284,2.132943489345533e-05,0.0004901656185503047,0.00012385139579425912,2.111244700005045,8.381900988752022e-05,0.00991656818845112
42,0.00991656818845112,0.00010569703425851844,1.931853095365508e-05,0.0004864076454739332,0.00012022037619008532,2.137308600009419,0.00010912671132246032,0.009899107861246693
43,0.009899107861246693,0.0001093577297721805,1.95956973618864e-05,0.0004825369527130739,0.00012398094798025445,1.9626024000026518,0.00011546329187694937,0.00988000864310414
44,0.00988000864310414,0.00010864935564931552,1.8681650939435952e-05,0.0004932456147386956,0.00012292263726642046,2.068638500000816,8.742243517190218e-05,0.009859277056388957
45,0.009859277056388957,0.00010776927407483904,1.7497058560932276e-05,0.0005160677859028099,0.00012167848121433328,1.9987170999957016,9.750780736794695e-05,0.009836920180919018
46,0.009836920180919018,0.00010903322803436445,1.7045530984312722e-05,0.00047724293918296134,0.0001223284229183504,2.10389959999884,9.469600627198815e-05,0.009812945651546815
47,0.009812945651546815,0.00011468938176239015,1.576043546007878e-05,0.0005008650100449504,0.00012757824959287904,1.9704925999976695,8.828352292766795e-05,0.00978736165555216
48,0.00978736165555216,0.00010617377511324484,1.5194494608294917e-05,0.0005222065952213323,0.00011899308836960562,2.0751619999937247,0.000151026964886114,0.009760176929846253
49,0.009760176929846253,0.00010708009210917089,1.3433993127312894e-05,0.0005005348976514794,0.00011880243764934213,2.3746641000034288,0.00017790372658055276,0.009731400757988016
