epoch,learning_rate_used,data_loss,PDE_loss,physics_loss,total_loss,training_seconds,validation_MSE,learning_rate_next
1,0.002,0.06700563168522182,0.02800887634643828,0.043093645347739164,2.2496967754186183,2.0402330000069924,0.0024022122379392385,0.002
2,0.002,0.004682697138292188,0.004342575474062337,0.043093645347739164,2.1637075399993124,2.0372859999915818,0.0008270519901998341,0.0022758620689655173
3,0.0022758620689655173,0.001912466219608795,0.002186785509177255,0.043093645347739164,2.158781519115744,2.0674007999914465,0.0006284184637479484,0.0025517241379310347
4,0.0025517241379310347,0.0010745202680996987,0.0013437850152599221,0.043093645347739164,2.1571005726703176,2.0511354000045685,0.00048313025035895407,0.002827586206896552
5,0.002827586206896552,0.0007460002489783361,0.0009061603291830013,0.043093645347739164,2.1563344279651195,2.052833499998087,0.00046188055421225727,0.0031034482758620693
6,0.0031034482758620693,0.0005860100022543503,0.0006538116063413052,0.043093645347739164,2.155922088995554,2.2849902999878395,0.0003656372136902064,0.0033793103448275866
7,0.0033793103448275866,0.00046690432865497707,0.0004855472595048717,0.043093645347739164,2.155634718975118,2.129002000001492,0.0003385257732588798,0.0036551724137931034
8,0.0036551724137931034,0.0003853371791884233,0.0003757239346840542,0.043093645347739164,2.1554433285008305,2.123994399997173,0.00030252180295065045,0.003931034482758621
9,0.003931034482758621,0.00032568624065222465,0.0002971935909096468,0.043093645347739164,2.15530514721852,2.0673783000092953,0.0002383663522778079,0.0042068965517241385
10,0.0042068965517241385,0.00028120804254628965,0.00024204653891501948,0.043093645347739164,2.1552055219684196,2.116237499998533,0.00022551050642505288,0.004482758620689656
11,0.004482758620689656,0.0002434697867874144,0.00019745718298440378,0.043093645347739164,2.15512319435673,2.1870515000046,0.00020306177611928433,0.004758620689655173
12,0.004758620689655173,0.00021497058181887282,0.00016365293578139313,0.043093645347739164,2.1550608909045583,2.362684200008516,0.00018907988851424307,0.00503448275862069
13,0.00503448275862069,0.0001957965324213289,0.00013670956777443862,0.043093645347739164,2.155014773487154,2.413252400001511,0.00014666232164017856,0.005310344827586207
14,0.005310344827586207,0.00017885124557409963,0.00011383609040113131,0.043093645347739164,2.1549749547229333,2.2050254000059795,0.00015550838725175709,0.005586206896551724
15,0.005586206896551724,0.00016555093590692914,9.993814819608815e-05,0.043093645347739164,2.1549477564710613,2.1146966999949655,0.0001369096280541271,0.0058620689655172415
16,0.0058620689655172415,0.00015836703219837596,8.440964508204247e-05,0.043093645347739164,2.1549250440642385,1.8692287000012584,0.00015903142048045993,0.006137931034482759
17,0.006137931034482759,0.00015199149225427733,7.472939285194888e-05,0.043093645347739164,2.1549089882720645,2.0329143999988446,0.0001380905305268243,0.006413793103448276
18,0.006413793103448276,0.000147953230826149,6.517500597115975e-05,0.043093645347739164,2.1548953956237553,1.8849233999935677,0.00012452786904759705,0.006689655172413793
19,0.006689655172413793,0.00014294737782208513,5.9255913652552135e-05,0.043093645347739164,2.1548844706784327,1.8512373999983538,0.00012959758169017732,0.006965517241379311
20,0.006965517241379311,0.00013784298199373912,5.2140774676205046e-05,0.043093645347739164,2.1548722511436282,2.0085474999941653,0.00012252862507011741,0.007241379310344828
